,City,Country,Continent,Housing,Cost of Living,Commute,Safety,Healthcare,Education,Environmental Quality,Economy,Taxation,Internet Access,Leisure & Culture,Outdoors,Average Score,Air Quality,Air Quality Level
32,Boise, Idaho,North America,6.9635,6.578,5.2250000000000005,4.3605,6.797333333333332,3.6245,8.069500000000001,6.5145,4.062,3.442,4.1995,5.221,5.421444444444444,42,Good
33,Bologna, Italy,Europe,7.471999999999999,5.189,5.53,7.337,8.577666666666667,4.202500000000001,5.460250000000001,3.3625,2.4365,7.7105,5.736000000000001,1.5815,5.38295138888889,70,Moderate
34,Bordeaux, France,Europe,7.1915,4.583,5.54975,7.466,8.823333333333332,4.442,7.261000000000001,4.2045,2.648000000000001,3.875,5.3005,2.8755,5.351673611111111,34,Good
35,Boston, Massachusetts,North America,1.0,4.259,4.39625,7.742000000000001,6.728999999999998,8.6245,8.1705,6.5145,4.062,5.700500000000001,8.564,5.659999999999999,5.951854166666666,38,Good
36,Boulder, Colorado,North America,3.704,4.531,6.138000000000002,7.0735,7.050333333333333,4.679,9.84375,6.5145,4.346,6.2780000000000005,2.5649999999999995,6.699,5.785173611111111,25,Good
37,Bozeman, Montana,North America,2.949,0.0,0.0,6.9145,6.515,4.128,9.369,6.5145,4.062,5.156000000000001,1.907,6.134,4.47075,18,Good
38,Bratislava, Slovakia,Europe,7.874499999999999,7.618,5.8115000000000006,8.618,6.751999999999999,3.2975,6.199999999999999,4.4705,4.937,4.583500000000001,6.186,4.8575,5.933833333333333,5,Good
39,Brighton, United Kingdom,Europe,2.49,5.324,5.547500000000001,8.4715,7.716333333333331,4.906000000000001,8.245750000000001,5.438,5.9545,4.7585,4.8695,4.898,5.718298611111112,55,Moderate
40,Brisbane, Australia,Oceania,5.212,5.1770000000000005,4.617750000000001,7.903500000000001,8.317666666666666,5.920999999999999,8.82775,6.0695000000000014,4.5885,4.407500000000001,4.01,6.256500000000002,5.942388888888889,51,Moderate
41,Bristol, United Kingdom,Europe,5.215999999999999,5.242,5.4437500000000005,7.939999999999999,8.251666666666665,5.4615,6.472250000000001,5.438,5.9545,6.478000000000001,3.8625,4.538,5.858180555555556,19,Good
42,Brno, Czechia,Europe,8.329000000000002,7.925999999999998,5.827249999999999,8.5655,8.096666666666666,4.226500000000001,6.05525,4.378000000000001,5.9335,7.020500000000002,5.3525,3.694,6.283722222222224,27,Good
43,Brussels, Belgium,Europe,6.355,4.477,5.386750000000001,6.703,8.158333333333333,6.6530000000000005,4.591000000000001,4.8115000000000006,1.883,7.5715,8.143999999999998,4.123,5.738090277777778,53,Moderate
44,Bucharest, Romania,Europe,9.186500000000002,8.516,5.072500000000001,8.985999999999999,6.075333333333333,2.4475,3.41925,4.103,6.839,9.638,6.959499999999999,1.9675,6.100840277777778,39,Good
45,Budapest, Hungary,Europe,8.570500000000001,7.947999999999999,5.395000000000001,8.218499999999999,5.745999999999999,3.693,5.2875,4.946,6.1075,6.759,8.253000000000002,5.112000000000001,6.336333333333333,30,Good
46,Buenos Aires, Argentina,South America,8.812000000000001,7.763999999999999,4.9235,6.0395,6.978999999999998,1.422,4.869,2.884,1.568,1.5275,7.6735,4.535500000000001,4.916458333333333,14,Good
47,Buffalo, New York,North America,7.0765,5.228000000000001,2.154,7.1885,6.457333333333333,4.212,8.329249999999998,6.5145,3.9205,6.757999999999999,4.32,4.6465,5.567090277777777,67,Moderate
48,Cairo, Egypt,Africa,10.0,10.0,3.99025,6.791,4.041,0.5,1.1555000000000002,2.978,5.101,2.405,6.1855,0.5,4.470604166666667,,
49,Calgary, Canada,North America,6.495000000000001,5.417999999999999,5.157500000000001,7.923,8.026333333333334,5.5550000000000015,8.191499999999998,5.8405000000000005,7.2745000000000015,5.6705000000000005,4.268,7.504499999999999,6.443694444444444,8,Good
50,Cambridge, United Kingdom,Europe,4.1055,4.851,5.627750000000001,9.504499999999998,8.189,6.554500000000001,8.0165,5.438,5.9545,5.8095,2.455,0.5,5.5838125000000005,14,Good
51,Cape Town, South Africa,Africa,6.7635000000000005,7.955,3.8425,5.327999999999999,4.343,0.8945000000000001,6.6085,2.7680000000000007,5.151,5.612500000000001,4.736000000000001,6.750500000000001,5.06275,1,Good
52,Caracas, Venezuela,South America,4.9025,9.82,4.544250000000001,5.221,4.178333333333334,0.0,2.2725,1.978,4.180000000000001,1.6415000000000002,4.38,4.0985,3.9347152777777783,,
53,Cardiff, United Kingdom,Europe,7.065,6.082,5.764749999999999,8.21,8.318333333333332,4.785500000000001,6.607249999999999,5.438,5.9545,5.101,5.0285,4.8055,6.096694444444444,53,Moderate
54,Casablanca, Morocco,Africa,8.822,9.088,4.26,6.775500000000001,4.47,0.0,2.2555000000000005,3.1735,3.2995,2.067,2.6830000000000003,3.9935,4.240624999999999,,
55,Charleston, South Carolina,North America,4.6370000000000005,3.567,4.62075,5.0555,6.779666666666666,3.6245,7.276,6.5145,4.062,6.093,6.595000000000001,5.0095,5.3195347222222225,28,Good
56,Charlotte, North Carolina,North America,5.549,4.987,4.134,5.347499999999999,6.432333333333333,3.6245,8.009249999999998,6.5145,4.062,6.3870000000000005,5.606,1.3115,5.163715277777778,30,Good
57,Chattanooga, Tennessee,North America,6.782,6.121,0.7969999999999999,4.468,6.242999999999999,3.6245,7.1515,6.5145,4.772,8.365,4.1625,3.908,5.242416666666666,43,Good
